City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
7,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
9,Poum,NC,76.21,scattered clouds,-20.2333,164.0167,
14,Butaritari,KI,82.42,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
17,Kapaa,US,85.1,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Soure,BR,81.37,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
33,Puri,IN,77.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
34,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
36,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
39,Namatanai,PG,84.99,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
43,Itacarambi,BR,87.33,overcast clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
46,Touros,BR,77.74,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
48,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
76,Tanout,NE,86.99,overcast clouds,14.9709,8.8879,
81,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
85,Labuhan,ID,78.17,overcast clouds,-6.8844,112.2051,DoubleFAG
87,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Pousada Camboinha
93,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
95,Portland,US,86.74,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
100,Kavieng,PG,84.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
102,Marsh Harbour,BS,78.58,clear sky,26.5412,-77.0636,Abaco Beach Resort
113,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Central
114,Hithadhoo,MV,80.98,heavy intensity rain,-0.6,73.0833,Scoop Guest House
115,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
116,Hilo,US,85.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
117,Makakilo City,US,83.95,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
118,Mogadishu,SO,77.05,overcast clouds,2.0371,45.3438,Hotel Juba
119,Karratha,AU,75.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
120,Tucurui,BR,84.85,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
132,Paratinga,BR,83.77,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
135,Itarema,BR,78.26,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
139,Abu Kamal,SY,80.06,broken clouds,34.4506,40.9171,البوكمال
145,Semporna,MY,80.91,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
146,Amapa,BR,80.01,scattered clouds,1.0,-52.0,
149,Guatire,VE,77.2,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
152,Shenzhen,CN,82.35,few clouds,22.5455,114.0683,Grand Skylight
157,Atuona,PF,77.0,clear sky,-9.8,-139.0333,Villa Enata
158,Kutum,SD,78.26,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
161,Sur,OM,80.58,few clouds,22.5667,59.5289,Sur Plaza Hotel
163,Kamloops,CA,75.74,broken clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
164,Puerto Asis,CO,81.86,moderate rain,0.5133,-76.5007,Ayawaska Hostal
171,Afua,BR,80.38,few clouds,-0.1567,-50.3867,Hotel Dias
179,Brookhaven,US,82.06,scattered clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
180,Naze,JP,76.12,scattered clouds,28.3667,129.4833,Shishime Hotel
185,Neosho,US,79.27,clear sky,36.869,-94.368,Best Western Big Spring Lodge
188,Puerto Penasco,MX,84.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
192,Katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
195,Saint George,US,87.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
203,Singkang,MY,75.07,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
205,Mount Isa,AU,87.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
207,Mozarlandia,BR,86.68,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
211,Bilma,NE,84.51,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
213,Lompoc,US,89.02,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
214,Thongwa,MM,77.16,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
219,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
224,Lorengau,PG,83.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
225,Rolla,US,76.14,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
226,Half Moon Bay,US,86.92,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
227,Mumford,GH,75.7,clear sky,5.2618,-0.759,Peace Guest House
228,Nabire,ID,76.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
232,Lacdayan,PH,82.27,overcast clouds,13.6,122.5333,Pirates Private Resort
235,Vaitape,PF,78.17,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
237,Esna,EG,82.42,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
240,Ouallam,NE,84.38,broken clouds,14.3188,2.0866,
244,Qui Nhon,VN,77.0,overcast clouds,13.7667,109.2333,Seagull Hotel
247,Pedernales,DO,82.36,overcast clouds,18.0384,-71.744,Hotel Costa Marina
250,Lubao,PH,82.11,overcast clouds,14.9167,120.55,Hacienda Gracia
256,Trinidad,BO,78.78,scattered clouds,-14.8333,-64.9,Hotel Piesta
260,Pacifica,US,81.73,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
264,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
268,Pochutla,MX,84.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
269,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
270,Los Mochis,MX,89.47,clear sky,25.7667,-108.9667,Hotel Fénix Sinaloa
275,Biak,ID,81.28,overcast clouds,-0.9131,122.8766,Penginapan Kim
278,Gizo,SB,83.41,light rain,-8.103,156.8419,Imagination Island
287,Nishihara,JP,80.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
293,Daru,PG,80.87,overcast clouds,-9.0763,143.2092,Daru Lodge
297,Couva,TT,79.07,broken clouds,10.4225,-61.4675,Metro Hotel
299,Harper,LR,75.99,overcast clouds,4.375,-7.7169,Screensaver
300,Lakatoro,VU,82.72,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
302,Omboue,GA,76.46,light rain,-1.5746,9.2618,Hotel Olako
315,Faanui,PF,78.17,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
316,Kieta,PG,84.76,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
317,Santa Cruz,BO,75.25,thunderstorm with light rain,-17.8,-63.1667,Aviador Hotel Boutique
318,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
319,Veraval,IN,80.2,overcast clouds,20.9,70.3667,Lords Inn Somnath
328,Kiunga,PG,84.79,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
330,Kavaratti,IN,81.25,overcast clouds,10.5669,72.642,Green leaf
332,Bubaque,GW,81.39,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
333,Jiazi,CN,79.03,broken clouds,22.8779,116.067,Hotel Jin Hao
339,Banjar,ID,80.96,broken clouds,-8.19,114.9675,The Hamsa Resort
340,Sola,VU,80.92,broken clouds,-13.8833,167.55,Leumerus Bungalows
345,La Grande,US,83.01,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
347,Manuk Mangkaw,PH,83.66,overcast clouds,4.8,119.85,
353,Vilhena,BR,80.82,few clouds,-12.7406,-60.1458,Hotel Mirage
355,La Brea,HN,81.91,broken clouds,15.8,-85.9667,Hotel reynita
356,Kandrian,PG,85.95,overcast clouds,-6.2167,149.55,Kandrian Station
357,Fare,PF,78.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
373,Mana,GF,80.58,broken clouds,5.6592,-53.7767,LE SAMANA
375,Nuevo Progreso,MX,79.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
386,Maragogi,BR,75.4,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
387,Alta Floresta,BR,83.62,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
389,Auki,SB,85.71,overcast clouds,-8.7676,160.7034,Auki Motel
390,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
