City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,65.52,84,52,2.8,broken clouds
1,Santa Maria,BR,-29.6842,-53.8069,67.3,100,100,5.75,mist
2,Punta Arenas,CL,-53.15,-70.9167,44.71,65,75,18.41,broken clouds
3,Avarua,CK,-21.2078,-159.775,78.85,61,87,14.97,overcast clouds
4,Busselton,AU,-33.65,115.3333,52.86,67,99,1.99,overcast clouds
5,Samsun,TR,41.25,36.3333,61.0,94,40,3.44,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,44.26,65,75,2.3,broken clouds
7,Kathu,TH,7.9178,98.3332,84.69,84,100,4.9,overcast clouds
8,Caravelas,BR,-17.7125,-39.2481,73.67,84,40,5.84,scattered clouds
9,Poum,NC,-20.2333,164.0167,76.21,67,30,7.4,scattered clouds
10,Lewistown,US,40.5992,-77.5714,66.94,68,0,0.0,haze
11,Rikitea,PF,-23.1203,-134.9692,70.09,67,40,19.64,scattered clouds
12,Nybro,SE,56.7446,15.9071,54.25,71,70,12.64,broken clouds
13,Egvekinot,RU,66.3167,-179.1667,24.08,73,72,28.1,broken clouds
14,Butaritari,KI,3.0707,172.7902,82.42,74,40,15.88,scattered clouds
15,Port Elizabeth,ZA,-33.918,25.5701,63.1,88,100,5.01,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,52.39,85,65,6.02,broken clouds
17,Kapaa,US,22.0752,-159.319,85.1,53,0,10.36,clear sky
18,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,75,75,19.57,broken clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,59.02,73,40,9.22,scattered clouds
20,Deputatskiy,RU,69.3,139.9,13.12,87,99,10.67,overcast clouds
21,Vardo,NO,70.3705,31.1107,42.78,87,30,17.27,scattered clouds
22,Novikovo,RU,51.1537,37.8879,49.19,89,4,6.73,clear sky
23,Xichang,CN,27.8964,102.2634,56.12,93,100,1.03,overcast clouds
24,Hobart,AU,-42.8794,147.3294,61.27,88,75,8.05,light rain
25,Mataura,NZ,-46.1927,168.8643,51.48,47,7,2.44,clear sky
26,Abrego,CO,8.0807,-73.2205,64.29,96,100,3.83,overcast clouds
27,Roma,US,43.2128,-75.4557,64.72,84,75,0.0,broken clouds
28,Soure,BR,-0.7167,-48.5233,81.37,77,41,14.9,scattered clouds
29,Nome,US,64.5011,-165.4064,44.67,70,100,23.02,overcast clouds
30,Provideniya,RU,64.3833,-173.3,41.36,93,75,27.0,fog
31,Hermanus,ZA,-34.4187,19.2345,53.8,73,73,5.53,broken clouds
32,Nanchong,CN,30.7951,106.0847,55.98,94,100,4.52,overcast clouds
33,Puri,IN,19.8,85.85,77.52,80,98,9.04,overcast clouds
34,Georgetown,MY,5.4112,100.3354,78.73,91,20,4.61,few clouds
35,Jamestown,US,42.097,-79.2353,62.24,48,40,6.91,scattered clouds
36,Cayenne,GF,4.9333,-52.3333,80.64,78,0,6.91,clear sky
37,Zyryanka,RU,65.75,150.85,23.9,91,100,21.43,light snow
38,Shulan,CN,44.4167,126.95,35.2,59,3,4.94,clear sky
39,Namatanai,PG,-3.6667,152.4333,84.99,60,100,10.42,overcast clouds
40,Aksu,CN,41.1231,80.2644,56.7,33,100,4.47,overcast clouds
41,Ribeira Grande,PT,38.5167,-28.7,71.58,83,26,9.26,scattered clouds
42,Muros,ES,42.7762,-9.0603,63.84,83,4,6.49,clear sky
43,Itacarambi,BR,-15.1022,-44.0919,87.33,30,87,4.05,overcast clouds
44,Qaanaaq,GL,77.484,-69.3632,15.33,91,99,7.43,overcast clouds
45,Yerbogachen,RU,61.2767,108.0108,27.18,92,98,1.66,overcast clouds
46,Touros,BR,-5.1989,-35.4608,77.74,83,65,12.37,broken clouds
47,Upernavik,GL,72.7868,-56.1549,25.41,94,100,3.22,light snow
48,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,91,98,14.14,overcast clouds
49,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,12.66,broken clouds
50,Port Hardy,CA,50.6996,-127.4199,55.58,94,100,3.44,fog
