City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tapes,BR,2022-10-04 23:49:36,-30.6733,-51.3958,57.2,85,0,6.87
1,Ocean City,US,2022-10-04 23:49:37,39.2776,-74.5746,59.99,93,100,13.0
2,Busselton,AU,2022-10-04 23:40:44,-33.65,115.3333,57.74,74,75,16.22
3,Olafsvik,IS,2022-10-04 23:49:03,64.8945,-23.7142,40.87,92,100,35.28
4,Kandrian,PG,2022-10-04 23:49:37,-6.2167,149.55,84.49,74,94,5.01
5,Hasaki,JP,2022-10-04 23:47:40,35.7333,140.8333,75.6,82,91,25.23
6,Ferrol,ES,2022-10-04 23:49:38,43.4832,-8.2369,60.71,93,17,5.46
7,Chuy,UY,2022-10-04 23:42:30,-33.6971,-53.4616,53.44,88,9,5.59
8,Fortuna,US,2022-10-04 23:45:18,40.5982,-124.1573,68.94,70,70,3.0
9,Coihaique,CL,2022-10-04 23:48:02,-45.5752,-72.0662,48.15,71,75,4.61
10,Vaini,TO,2022-10-04 23:45:29,-21.2,-175.2,78.96,89,75,4.61
11,Punta Arenas,CL,2022-10-04 23:37:29,-53.15,-70.9167,48.31,71,0,12.66
12,Vao,NC,2022-10-04 23:46:46,-22.6667,167.4833,68.59,59,6,8.19
13,Rikitea,PF,2022-10-04 23:40:48,-23.1203,-134.9692,69.8,65,59,24.0
14,Vestmannaeyjar,IS,2022-10-04 23:49:41,63.4427,-20.2734,45.01,76,100,26.17
15,Mabaruma,GY,2022-10-04 23:49:42,8.2,-59.7833,78.71,85,86,3.51
16,Ureshino,JP,2022-10-04 23:49:42,33.1,129.9833,73.2,78,75,4.83
17,Cape Town,ZA,2022-10-04 23:40:03,-33.9258,18.4232,53.91,65,0,1.14
18,East London,ZA,2022-10-04 23:40:57,-33.0153,27.9116,62.51,83,53,10.6
19,Hamilton,US,2022-10-04 23:39:25,39.1834,-84.5333,65.84,49,0,0.0
20,Alofi,NU,2022-10-04 23:49:43,-19.0595,-169.9187,82.29,74,13,11.5
21,Tautira,PF,2022-10-04 23:49:44,-17.7333,-149.15,76.21,73,53,23.24
22,Anadyr,RU,2022-10-04 23:49:08,64.75,177.4833,32.5,69,75,8.95
23,New Norfolk,AU,2022-10-04 23:43:43,-42.7826,147.0587,52.72,57,94,3.0
24,Van Wert,US,2022-10-04 23:49:45,40.8695,-84.5841,62.8,49,0,0.0
25,Luderitz,NA,2022-10-04 23:45:31,-26.6481,15.1594,54.9,77,0,15.5
26,Rio Gallegos,AR,2022-10-04 23:49:46,-51.6226,-69.2181,55.45,33,40,20.71
27,Saint-Philippe,RE,2022-10-04 23:42:17,-21.3585,55.7679,65.79,78,41,10.47
28,Tuktoyaktuk,CA,2022-10-04 23:46:58,69.4541,-133.0374,33.8,86,20,13.8
29,Djambala,CG,2022-10-04 23:49:47,-2.5447,14.7533,67.48,90,47,2.44
30,Mataura,NZ,2022-10-04 23:42:38,-46.1927,168.8643,37.47,98,100,11.52
31,Burns Lake,CA,2022-10-04 23:49:48,54.2331,-125.7533,62.02,53,100,4.32
32,Sokoni,TZ,2022-10-04 23:49:48,-6.4333,39.55,75.06,82,8,10.25
33,Ribeira Grande,PT,2022-10-04 23:40:57,38.5167,-28.7,71.78,81,82,8.68
34,Lavrentiya,RU,2022-10-04 23:45:18,65.5833,-171.0,37.72,68,13,5.73
35,Ushuaia,AR,2022-10-04 23:40:45,-54.8,-68.3,47.86,71,75,24.16
36,Bredasdorp,ZA,2022-10-04 23:42:23,-34.5322,20.0403,48.29,83,19,3.8
37,Vardo,NO,2022-10-04 23:49:50,70.3705,31.1107,44.58,87,100,14.97
38,Atuona,PF,2022-10-04 23:40:51,-9.8,-139.0333,77.04,69,19,20.22
39,Goundam,ML,2022-10-04 23:49:51,16.4145,-3.6708,93.47,12,1,4.76
40,Chake Chake,TZ,2022-10-04 23:49:52,-5.2459,39.7666,72.46,89,8,6.35
41,Istisu,AZ,2022-10-04 23:49:52,40.9457,48.0738,52.47,42,0,4.59
42,Albany,US,2022-10-04 23:39:44,42.6001,-73.9662,52.34,74,100,3.11
43,Hobart,AU,2022-10-04 23:37:41,-42.8794,147.3294,52.27,69,75,5.75
44,Kavaratti,IN,2022-10-04 23:44:06,10.5669,72.642,81.63,76,97,16.31
45,Samarai,PG,2022-10-04 23:49:54,-10.6167,150.6667,81.34,83,92,16.4
46,Saskylakh,RU,2022-10-04 23:40:43,71.9167,114.0833,23.43,96,100,4.81
47,Marathon,US,2022-10-04 23:50:56,44.9,-89.7668,67.53,63,0,0.0
48,Mpika,ZM,2022-10-04 23:50:58,-11.8343,31.4529,61.34,37,9,6.33
49,Geraldton,AU,2022-10-04 23:43:44,-28.7667,114.6,61.21,94,100,10.36
50,Upernavik,GL,2022-10-04 23:41:37,72.7868,-56.1549,20.32,81,58,5.84
51,Mount Isa,AU,2022-10-04 23:51:00,-20.7333,139.5,74.97,88,99,12.66
52,Lake Havasu City,US,2022-10-04 23:51:02,34.4839,-114.3224,98.06,18,0,4.61
53,Jumla,NP,2022-10-04 23:42:39,29.2747,82.1838,53.58,88,15,3.94
54,Kapaa,US,2022-10-04 23:51:04,22.0752,-159.319,84.52,70,20,17.27
55,Hithadhoo,MV,2022-10-04 23:51:05,-0.6,73.0833,82.44,70,99,18.32
56,Bengkulu,ID,2022-10-04 23:46:54,-3.8004,102.2655,75.94,89,100,6.78
57,Luganville,VU,2022-10-04 23:51:07,-15.5333,167.1667,81.21,78,75,12.03
58,Pangnirtung,CA,2022-10-04 23:51:09,66.1451,-65.7125,33.98,67,100,7.02
59,Chokurdakh,RU,2022-10-04 23:51:11,70.6333,147.9167,23.0,88,98,6.69
60,Kodiak,US,2022-10-04 23:43:52,57.79,-152.4072,53.11,94,100,20.71
61,Karla,EE,2022-10-04 23:51:13,59.3723,24.9275,37.36,100,0,2.3
62,Pontes E Lacerda,BR,2022-10-04 23:51:14,-15.2261,-59.3353,77.72,71,72,1.1
63,Guerrero Negro,MX,2022-10-04 23:42:30,27.9769,-114.0611,73.18,70,15,11.56
64,Husavik,IS,2022-10-04 23:42:14,66.0449,-17.3389,41.92,98,100,17.87
65,Natal,BR,2022-10-04 23:49:43,-5.795,-35.2094,79.02,83,20,5.75
66,Khatanga,RU,2022-10-04 23:43:47,71.9667,102.5,26.51,98,100,4.61
67,Gazli,UZ,2022-10-04 23:51:20,40.1333,63.45,55.31,23,0,13.8
68,Provideniya,RU,2022-10-04 23:44:01,64.3833,-173.3,41.36,70,75,7.0
69,Lebu,CL,2022-10-04 23:50:52,-37.6167,-73.65,50.41,94,22,6.26
70,Klang,MY,2022-10-04 23:51:25,3.0333,101.45,77.56,88,20,3.44
71,Ola,RU,2022-10-04 23:51:27,59.5833,151.2833,30.15,79,100,13.6
72,Hofn,IS,2022-10-04 23:51:28,64.2539,-15.2082,45.05,88,100,5.19
73,Tamiahua,MX,2022-10-04 23:51:28,21.2667,-97.45,77.04,80,52,6.35
74,Hilo,US,2022-10-04 23:42:35,19.7297,-155.09,84.25,67,0,10.36
75,Arlit,NE,2022-10-04 23:51:30,18.7369,7.3853,90.84,15,4,9.53
76,Namibe,AO,2022-10-04 23:51:31,-15.1961,12.1522,64.38,90,59,4.9
77,Severo-Kurilsk,RU,2022-10-04 23:46:43,50.6789,156.125,47.12,94,100,20.2
78,Savannah Bight,HN,2022-10-04 23:51:34,16.45,-85.85,82.87,68,74,7.27
79,Magole,TZ,2022-10-04 23:51:35,-6.3667,37.3667,66.18,84,57,2.08
80,Tasiilaq,GL,2022-10-04 23:51:37,65.6145,-37.6368,21.07,67,33,7.4
81,Peleduy,RU,2022-10-04 23:51:38,59.6289,112.7406,26.62,78,66,7.63
82,Jamestown,US,2022-10-04 23:41:49,42.097,-79.2353,55.04,66,100,6.91
83,Avarua,CK,2022-10-04 23:43:58,-21.2078,-159.775,78.85,65,82,23.02
84,Zhezkazgan,KZ,2022-10-04 23:51:41,47.8043,67.7144,39.36,33,0,11.12
85,Sept-Iles,CA,2022-10-04 23:47:02,50.2001,-66.3821,50.0,90,75,5.75
86,Meulaboh,ID,2022-10-04 23:51:43,4.1363,96.1285,73.6,96,100,2.89
87,Mabama,TZ,2022-10-04 23:51:43,-5.1333,32.5333,68.13,30,57,5.28
88,Miraflores,MX,2022-10-04 23:51:44,19.2167,-98.8083,66.87,86,81,2.48
89,Cherskiy,RU,2022-10-04 23:42:18,68.75,161.3,25.79,66,18,7.76
90,Torbay,CA,2022-10-04 23:42:34,47.6666,-52.7314,51.28,85,0,21.85
91,Port Alfred,ZA,2022-10-04 23:51:46,-33.5906,26.891,60.19,88,94,1.01
92,Nome,US,2022-10-04 23:52:48,64.5011,-165.4064,48.27,76,75,10.36
93,Hermanus,ZA,2022-10-04 23:52:49,-34.4187,19.2345,52.81,71,33,2.86
94,Ostrovnoy,RU,2022-10-04 23:52:52,68.0531,39.5131,45.79,94,86,12.24
95,Pandhurna,IN,2022-10-04 23:52:52,21.6,78.5167,72.48,88,96,2.71
96,Rupert,US,2022-10-04 23:51:34,42.6191,-113.6772,75.15,25,0,4.61
97,Atar,MR,2022-10-04 23:52:53,20.5169,-13.0499,94.98,20,86,6.93
98,Lagoa,PT,2022-10-04 23:44:03,39.05,-27.9833,68.92,88,100,19.55
99,Yellowknife,CA,2022-10-04 23:51:56,62.456,-114.3525,39.56,65,75,11.01
100,Cabedelo,BR,2022-10-04 23:52:54,-6.9811,-34.8339,75.87,78,41,10.42
101,Peterhead,GB,2022-10-04 23:48:58,57.5058,-1.7981,50.4,81,100,7.7
